,token_type,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active,vc_count
185,Utility-token,Switzerland,joint-stock corporation,Payments,0,1,0,0,1,3,4,7.0,23.0,1,38.0,1,0
186,Utility-token,Cayman Islands,joint-stock corporation,Video Games & VR,0,1,0,1,1,30,45,20.0,7.0,1,37.0,1,3
187,Utility-token,Singapore,joint-stock corporation,Content Management,0,1,0,0,1,1,8,24.0,11.0,1,26.0,1,2
188,Security,Estonia,foundation,Finance,0,1,0,1,1,36,12,1.0,31.0,1,25.0,1,0
189,Utility-token,other,joint-stock corporation,Energy & Utilities,0,1,0,0,1,25,29,26.0,26.0,1,34.0,1,0
190,Utility-token,other,other,Real Estate,0,1,1,0,0,31,15,1.0,8.0,1,10.0,1,0
191,Utility-token,Gibraltar,joint-stock corporation,Communications,0,1,0,1,1,30,11,0.0,3.0,1,75.0,1,0
192,Utility-token,United States,joint-stock corporation,Real Estate,0,1,0,0,1,55,11,4.0,12.0,0,31.0,1,0
193,Utility-token,other,other,Content Management,0,1,0,0,0,31,21,-8.0,1.0,0,20.0,1,0
194,Utility-token,other,limited liability partnership,Payments,0,1,0,1,1,2,29,4.0,49.0,1,38.0,1,0
195,Utility-token,Singapore,joint-stock corporation,Finance,0,1,0,1,1,3,33,13.0,87.0,1,73.0,1,5
196,Utility-token,Singapore,foundation,Social Networks,0,1,0,1,1,2,9,13.0,12.0,1,40.0,1,0
197,Utility-token,Hong Kong,joint-stock corporation,Communications,0,1,0,1,1,32,13,-21.0,21.0,1,34.0,1,1
198,New Blockchain,Singapore,other,Blockchain Infrastructure,0,1,0,0,0,10,30,64.0,15.0,1,27.0,1,2
199,Cryptocurrency,other,other,Payments,0,1,0,1,1,15,11,7.0,32.0,0,0.0,1,1
200,Security,Singapore,joint-stock corporation,Real Estate,0,1,0,0,1,31,6,8.0,11.0,1,38.0,1,0
201,Utility-token,Hong Kong,joint-stock corporation,Finance,0,1,0,1,1,1,3,20.0,15.0,1,31.0,1,1
202,Utility-token,Gibraltar,joint-stock corporation,Real Estate,0,1,0,1,1,86,23,38.0,15.0,1,57.0,1,4
203,Cryptocurrency,Switzerland,foundation,Payments,0,1,1,1,1,3,6,5.0,34.0,1,23.0,1,1
204,Utility-token,other,joint-stock corporation,Energy & Utilities,0,1,0,1,1,29,14,-25.0,30.0,1,89.0,0,0
205,Security,other,joint-stock corporation,Trading & Exchanges,0,1,0,1,1,4,8,11.0,10.0,1,25.0,0,0
206,Utility-token,Cayman Islands,joint-stock corporation,Finance,0,1,0,0,1,18,12,-15.0,38.0,1,26.0,1,9
207,Utility-token,Cayman Islands,joint-stock corporation,Privacy & Security,0,1,0,0,1,32,8,15.0,17.0,0,34.0,1,0
208,Utility-token,Switzerland,joint-stock corporation,Trading & Exchanges,0,1,0,0,1,2,8,7.0,15.0,1,22.0,1,0
209,Utility-token,other,limited liability partnership,Identity & Reputation,0,1,0,1,1,1,48,1.0,22.0,1,29.0,1,3
210,Utility-token,Hong Kong,joint-stock corporation,Finance,0,1,1,1,1,85,5,35.0,4.0,1,55.0,0,0
211,Utility-token,Hong Kong,joint-stock corporation,Commerce & Advertising,0,1,0,1,1,18,8,18.0,22.0,1,36.0,1,6
212,Security,Switzerland,limited liability partnership,Events & Entertainment,0,1,0,0,1,28,4,-26.0,6.0,1,28.0,0,0
213,Utility-token,Switzerland,joint-stock corporation,Communications,0,1,0,0,1,14,41,3.0,158.0,1,33.0,1,1
214,Utility-token,Hong Kong,joint-stock corporation,Video Games & VR,0,1,0,0,1,31,6,0.0,3.0,1,18.0,1,0
215,Security,United Kingdom,joint-stock corporation,Finance,0,1,1,0,1,46,2,14.0,2.0,0,21.0,0,0
216,Utility-token,Singapore,joint-stock corporation,Communications,0,1,0,0,1,33,5,11.0,17.0,0,19.0,1,0
217,Utility-token,other,joint-stock corporation,Social Networks,0,1,0,0,1,50,5,4.0,6.0,1,22.0,1,0
218,Utility-token,Singapore,joint-stock corporation,Blockchain Infrastructure,0,1,1,0,1,5,21,-1.0,47.0,1,42.0,1,0
219,Utility-token,Switzerland,joint-stock corporation,Blockchain Infrastructure,0,1,0,1,1,11,10,9.0,23.0,0,44.0,0,0
220,Utility-token,other,joint-stock corporation,Commerce & Advertising,0,1,1,1,1,25,12,86.0,11.0,1,41.0,1,0
221,Utility-token,Cayman Islands,joint-stock corporation,Trading & Exchanges,0,1,0,1,1,24,10,33.0,27.0,1,23.0,1,0
222,unknown,other,other,Identity & Reputation,0,1,0,0,0,30,5,11.0,0.0,0,27.0,0,0
223,Security,United Kingdom,joint-stock corporation,Finance,1,1,0,1,1,20,10,3.0,5.0,1,22.0,0,0
224,Security,Switzerland,limited liability partnership,Finance,0,1,1,1,1,11,4,26.0,9.0,1,58.0,1,0
225,Security,Singapore,joint-stock corporation,Finance,0,1,0,0,1,2,4,13.0,4.0,1,23.0,1,2
