,name_other,name_cmc,ticker_symbol_cmc,token_type,vc_support_blockchain_specialist,vc_support_general,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active
70,Blocktix,Blocktix,TIX,Utility-token,No,No,Netherlands,joint-stock corporation,Events & Entertainment,0,1.0,1,0,1,22,5.0,12.0,7.0,0,9.0,1
72,BLOCKv,BLOCKv,VEE,Utility-token,No,No,Switzerland,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,1,1,40,4.0,34.0,22.0,1,27.0,1
74,Bloom,Bloom,BLT,Utility-token,Pantera Capital,No ,Gibraltar,joint-stock corporation,Finance,0,1.0,0,1,1,33,9.0,14.0,40.0,0,17.0,1
80,Bluzelle,Bluzelle,BLZ,Utility-token,Kenetic Capital,Global Brains; True Global Ventures; LUN partners,Singapore,joint-stock corporation,Data Analytics,0,1.0,0,1,1,4,10.0,17.0,16.0,1,42.0,1
82,BOScoin,BOScoin,BOS,New Blockchain,No,No,Switzerland,foundation,Blockchain Infrastructure,0,1.0,1,0,1,1,13.0,169.0,17.0,1,20.0,0
85,Bounty0x,Bounty0x,BNTY,Utility-token,No,No,Cayman Islands,joint-stock corporation,Search,0,1.0,1,0,1,2,8.0,10.0,2.0,0,25.0,1
87,Bread,Bread,BRD,Utility-token,No,Saison Ventures; OKWave; Liberty City Ventures; Globe Advisors; East Ventures; Das Capital,Cayman Islands,joint-stock corporation,Payments,0,1.0,0,1,1,11,14.0,0.0,44.0,0,15.0,1
88,CanYa,CanYaCoin,CAN,Utility-token,No,No,Australia,joint-stock corporation,Marketplaces,0,1.0,0,1,1,32,15.0,12.0,,1,41.0,1
93,CarTaxi Token,CarTaxi Token,CTX,Security,No,No,Russian Federation,joint-stock corporation,Marketplaces,1,1.0,0,0,1,33,9.0,7.0,9.0,1,37.0,1
97,Cashaa,Cashaa,CAS,New Blockchain,No,No,Estonia,joint-stock corporation,Finance,0,1.0,1,1,1,31,15.0,71.0,14.0,1,33.0,1
