,id,name,symbol,slug,rank,displayTV,is_active,first_historical_data,last_historical_data,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,platform
184,21523,Eng Crypto,ENG,eng-crypto,6481.0,1,1,2022-08-23T02:40:00.000Z,2022-10-28T09:55:00.000Z,1839.0,BNB,BNB,bnb,0x8a505d5cb3db9fcf404c0a72af3df8be4efb707c,
185,2130,Enjin Coin,ENJ,enjin-coin,83.0,1,1,2017-11-01T05:49:25.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,
186,1699,Ethbits,ETBS,ethbits,,1,0,2017-06-01T16:29:55.000Z,2019-10-26T02:59:06.000Z,1027.0,Ethereum,ETH,ethereum,0x1b9743f556d65e757c4c650b4555baf354cb8bd3,
187,12790,Ethos Project,ETHOS,ethos-project,,1,0,2021-10-15T15:40:06.000Z,2022-07-11T18:25:00.000Z,1839.0,BNB,BNB,bnb,0x4b74e109e8b0d03226224ef2746f8c13e4c59cd4,
188,2137,Electroneum,ETN,electroneum,352.0,1,1,2017-11-02T00:24:27.000Z,2022-10-28T09:59:00.000Z,,,,,,
189,1714,EncryptoTel [WAVES],ETT,encryptotel,,1,0,2017-06-10T16:09:58.000Z,2021-01-07T11:29:07.000Z,,,,,,
190,2018,EncryptoTel [ETH],ETT,encryptotel-eth,,1,0,2017-10-06T17:29:25.000Z,2021-01-07T11:39:08.000Z,1027.0,Ethereum,ETH,ethereum,0xe0c72452740414d861606a44ccd5ea7f96488278,
191,6429,Efficient Transaction Token,ETT,efficient-transaction-token,,1,0,,,1027.0,Ethereum,ETH,ethereum,0x1212b68d8555cf0b08f3371b926b3e1148b520f1,
192,17212,EVE Token,EVE,eve-exchange,3631.0,1,1,2022-01-18T22:37:00.000Z,2022-10-28T09:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0f628641d0ea1ecab9341e58d4982c0018a51c6b,
193,2464,Devery,EVE,devery,,1,0,2018-01-24T21:09:27.000Z,2022-08-17T18:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0x923108a439c4e8c2315c4f6521e5ce95b44e9b4c,
194,3261,EvenCoin,EVN,evencoin,2460.0,1,1,2018-09-11T00:04:21.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x68909e586eeac8f47315e84b4c9788dd54ef65bb,
195,2526,Envion,EVN,envion,,1,0,2018-02-15T23:24:20.000Z,2020-10-23T03:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xd780ae2bf04cd96e577d3d014762f831d97129d0,
196,9580,Evolution Finance,EVN,evolution-finance,,1,0,2021-05-05T14:07:05.000Z,2022-09-05T18:27:00.000Z,1027.0,Ethereum,ETH,ethereum,0x9af15d7b8776fa296019979e70a5be53c714a7ec,
197,2034,Everex,EVX,everex,1919.0,1,1,2017-10-10T16:19:26.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,
198,2333,FidentiaX,FDX,fidentiax,,1,0,2018-01-02T22:14:18.000Z,2020-07-07T23:59:06.000Z,1027.0,Ethereum,ETH,ethereum,0x52a7cb918c11a16958be40cba7e31e32a499a465,
