name_other,name_cmc,ticker_symbol_cmc,ico_successful,soft_cap,hard_cap,cap_unit,cap_includes_presale,token_type,number_of_contributors,crowdsale_tokens_sold,total_number_of_tokens,token_standard,additional_token_emissions,crowdsale_token_price_min,crowdsale_token_price_max,crowdsale_actual_token_price_max,Crowdsale is auction,Has a presale,presale_tokens_sold,presale_token_price_min,presale_token_price_max,Development road map available,Whitepaper page count,Product or prototype developed,Product can be tried out,Years since foundation,Issuer has customers for product,Business model available,Utility token enables decentralization,Smart contract code available,Project code available,Use of proceeds mentioned,Use of proceeds disclosed in detail,Token share team (ex ante),Token share crowdsale investors (ex ante),Token share presale investors (ex ante),Token share producers/miners (ex ante),Unsold tokens 'burnt' or proportional allocation,Unsold tokens kept by issuer,Unsold tokens locked up,Lock up period unsold tokens (years),Team lockup period (weighted avg.),Presale lockup period (weighted avg.),vc_support_general,vc_support_blockchain_specialist,Investors have governance rights,Team size,Experienced team,Team member with business background,advisor_quality,legal_structure,registration_country,address,Independent custodian for ICO funds,portfolio_converted_into_fiat,Funding milestones,Qualified investors only,Simple agreement for future tokens (SAFT),KYC/AML procedure,US retail investors excluded,Investors from other (non-US) jurisdictions excluded,Legal advisor disclosed,Financial advisor disclosed,air_drop_after_ICO ,industry,ethereum_contract_address,ico_start_date,ico_end_date_planned,ico_end_date_actual,Amount raised in presale (USDm),Amount raised in crowdsale (USDm),Total amount raised (USDm),Total amount raised (USDm),BTC_ret_ico_period,Presale discount (%),Fundraiser has maximum ('hard cap'),Fundraiser has minimum ('soft cap'),soft_cap_unit,hard_cap_unit,Percentage of hard cap raised (%),pct_of_crowdsale_target_raised,price_presale_avg,price_presale,price_crowdsale_avg,price_crowdsale,Crowdsale max. discount (%),US_qualified_only,Team business background missing,Team experience missing,average_discount,Team tokens locked up,Presale tokens locked up,issued_on_other_platf,Legal form and jurisdiction known,Postal address known,Registered in offshore financial center,switzerland,is_ethereum,Is cryptographic token,Has VC backing,has_generalist_vc,has_specialist_vc,Unknown or low quality advisors,High quality advisory team,Token supply is fixed,Token share crowdsale investors (ex post),post_money_val_crowdsale,Celebrity endorsement,Is a security,Is a utility token,token_is_cryptocurrency,token_is_new_blockchain,Is currency or general purpose blockchain,Decentralised platform,Legal entity is foundation,Legal entity is corporation,Legal entity is LLC,Legal entity is corporation or LLC,"Length of crowdsale (calendar days, actual)","Length of crowdsale (calendar days, planned)",lock_up_period_team_ep,presale_transparent,industry,(first) date,Time to listing (calendar days)
Change,Change,CAG,1,0,66676000,ETH,1,Cryptocurrency,5600,8158342,79184116,ERC-20,0,1,1,1,0,1,23515305,1,,1,12,1,1,1,0,0,,1,0,1,0,1,0,0,0,0,1,0,0,,,No,No,0,16,1,0,high,joint-stock corporation,Estonia,"Harju maakond, Tallinn, Kesklinna linnaosa,   Viru väljak 2, 10111",1,1,0,0,0,1,1,1,0,0,0,Finance,0x7d4b8cce0591c9044a22ee543533b72e976e36c3,9/16/17,10/16/17,10/16/17,12,5,17,17,0,23,1,0,ETH,ETH,26,10,0,0,1,1,17,0,0,0,19,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,52,0,0,0,1,0,1,1,0,1,0,1,31,31,,1,Finance,10/17/17,1
Chronobank,Chronobank,TIME,1,502275,,BTC,1,Security,,624899,710113,ERC-20,0,10,10,10,0,0,,,,0,9,0,0,0,0,1,,1,1,0,0,0,1,0,0,1,0,,,,,No,No,0,7,1,1,low,joint-stock corporation,Australia,unknown,0,0,0,0,0,0,0,0,0,0,0,Marketplaces,0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53,12/13/16,2/14/17,2/14/17,0,5,5,5,0,,0,1,BTC,BTC,,,,,10,10,0,0,0,0,14,0,,1,1,0,0,0,1,1,0,0,0,1,0,1,1,6,0,1,0,0,0,0,0,0,1,0,1,64,64,,1,Marketplaces,2/27/17,13
Chronologic,Chronologic,DAY,1,295170,11329510,ETH,1,Cryptocurrency,,,4000000,ERC-20,1,12,12,12,0,1,,12,12,1,18,0,0,0,0,1,,1,0,0,0,0,,,1,0,1,0,0,1,,No,Wired Investors,0,2,0,0,high,joint-stock corporation,Hong Kong,unknown,0,0,0,0,0,1,1,1,0,0,0,Blockchain Infrastructure,0xe814aee960a85208c3db542c53e7d4a6c8d5f60f,8/28/17,8/30/17,9/4/17,,,,,0,0,1,1,ETH,ETH,,,12,12,12,12,0,0,0,0,,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,,,0,0,0,1,0,1,1,0,1,0,1,8,3,,0,Blockchain Infrastructure,9/25/17,21
Cindicator,Cindicator,CND,1,0,15000000,USD,1,Utility-token,4057,1500000003,2000000004,ERC-20,0,0,0,0,0,0,,,,1,37,1,1,2,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,,,Starta Accelerator,Bitfin Capital; Token Fund,0,16,0,1,high,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,1,1,1,1,0,0,Finance,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,9/10/17,10/12/17,10/12/17,0,17,17,17,0,,1,0,USD,USD,113,100,,,0,0,0,0,0,0,-13,0,,1,1,0,1,0,1,1,1,1,1,0,1,1,1,23,0,0,1,0,0,0,1,0,1,0,1,33,33,,1,Finance,10/13/17,1
Civic,Civic,CVC,1,0,33000000,USD,1,Utility-token,,110000000,1000000000,ERC-20,0,0,0,0,0,1,220000000,0,0,1,18,1,1,2,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,,,Propel Venture Partners,Blockchain Capital; Pantera Capital; Digital Currency Group,0,,1,1,high,joint-stock corporation,United States," Civic Technologies, Inc., 540 Bryant Street, Suite 200, Palo Alto, CA 94301",0,0,0,0,0,1,0,0,0,0,0,Identity & Reputation,0x41e5560054824ea6b0732e656e3ad64e20e94e45,6/21/17,6/22/17,6/28/17,22,11,33,33,0,0,1,0,USD,USD,100,100,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,100,0,0,1,0,0,0,1,0,1,0,1,8,2,,1,Identity & Reputation,7/17/17,19
Clout,,,1,7500000,52500000,USD,0,Utility-token,,22500,100000000,ERC-223,1,3,10,10,0,1,2500000,1,1,1,41,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,,No,No,0,8,0,0,low,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,1,1,1,0,0,0,Media,0x5ba49fcf7c9dce67d6a9fc92cc51c8e77cba5b7a,11/15/17,12/17/17,12/17/17,3,,3,,1,90,1,1,USD,USD,,,1,1,,6,75,0,0,0,90,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,,0,0,1,0,0,0,1,0,1,0,1,33,33,0,1,Media,,
Cobinhood,Cobinhood,COB,1,0,29545000,tokens,0,Security,,244773856,1000000000,ERC-20,0,0,0,0,0,1,100000000,,,1,18,0,0,0,0,1,,0,0,1,0,0,1,0,0,0,1,1,6,6,,Infinity Ventures,No,0,,0,1,neutral,joint-stock corporation,Cayman Islands," BEING Inc., The Grand Pavilion Commercial Centre, Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208 Cayman Islands.",0,0,0,0,0,0,1,1,0,1,0,Trading & Exchanges,0xb2f7eb1f2c37645be61d73953035360e768d81e6,9/13/17,10/22/17,10/22/17,,14,14,,0,,1,0,tokens,tokens,,,,,0,0,29,0,0,0,47,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,55,1,1,0,0,0,0,0,0,1,0,1,40,40,6,0,Trading & Exchanges,10/1/17,-21
Cofound.it,Cofound.it,CFI,1,1167767,14597730,ETH,1,Utility-token,1521,125000000,500000000,ERC-20,0,0,0,0,1,0,,,,1,17,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,,,1,,No,No,0,6,1,1,high,joint-stock corporation,British Virgin Islands,unknown,0,0,0,0,0,0,0,0,1,1,0,Finance,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,6/4/17,7/5/17,6/7/17,0,15,15,15,0,,1,1,ETH,ETH,100,100,,,0,0,92,0,0,0,0,1,,1,1,0,1,0,1,1,0,0,0,0,1,1,0,58,0,0,1,0,0,0,1,0,1,0,1,4,32,1,1,Finance,6/19/17,12
CoinDash,CoinDash,CDT,0,0,12000000,USD,1,Utility-token,,487500000,1000000000,ERC-20,0,0,0,0,0,1,,,,1,19,1,1,0,0,0,1,1,1,0,0,,0,,0,0,1,0,0,,,No,No,0,9,0,0,medium,joint-stock corporation,Israel,unknown,0,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,7/17/17,8/17/17,7/17/17,,,,,0,,1,0,USD,USD,,,,,0,0,23,0,0,0,,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,1,0,1,0,1,1,32,,0,Trading & Exchanges,8/7/17,21
CoinStarter (STC),StarterCoin,STAC,1,,150619053,ETH;tokens,1,Utility-token,,,342007189,ERC-20,0,0,0,0,0,1,,0,0,0,52,0,0,0,0,1,0,0,0,1,0,0,,,0,1,0,,,,,No,No,0,6,0,0,unknown,joint-stock corporation,British Virgin Islands,"Coinstarter Inc., Intershore Chambers, Road Town, Tortola, British Virgin Islands",0,0,0,0,0,0,0,0,1,1,0,Finance,0x9a005c9a89bd72a4bd27721e7a09a3c11d2b03c4,1/20/18,2/17/18,2/17/18,,,,,0,60,1,1,ETH,tokens,,,,0,,0,29,0,1,1,,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,,,0,0,1,0,0,0,0,0,1,0,1,29,29,,0,Finance,3/8/18,19
CommerceBlock,CommerceBlock,CBT,1,2000000,25000000,USD,1,Utility-token,,,740286262,ERC-20,0,0,0,0,0,1,,,,1,13,0,0,1,0,0,1,1,0,1,0,1,,,0,1,0,,,2,,GAHL,CoinShares Fund 1 LP,0,6,0,0,unknown,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,1,1,1,0,0,0,Finance,0x076c97e1c869072ee22f8c91978c99b4bcb02591,11/8/17,12/19/17,12/19/17,,,,,1,,1,1,USD,USD,,,,,,0,20,0,1,1,,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,,,0,0,1,0,0,0,1,0,1,0,1,42,42,2,0,Finance,4/17/18,119
COPYTRACK,COPYTRACK,CPY,1,4000001,72516279,tokens,0,Utility-token,2900,16033995,53000748,ERC-20,0,1,1,1,0,1,,0,1,1,29,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,,,1,,Catagonia Limited,No,0,20,1,1,high,joint-stock corporation,Germany,Oranienburger Str. 4 10178 Berlin,0,0,0,0,0,0,1,1,0,0,0,Privacy & Security,0xf44745fbd41f6a1ba151df190db0564c5fcc4410,1/9/18,2/9/18,2/9/18,4,11,15,15,-1,61,1,1,tokens,tokens,21,16,,1,1,1,20,0,0,0,,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,37,0,0,1,0,0,0,0,0,1,0,1,32,32,1,0,Privacy & Security,2/23/18,14
Corion Platform,CORION,COR,1,,,unknown,0,Cryptocurrency,,,,ETC,1,1,1,1,0,1,,1,1,1,32,0,0,2,0,1,,0,0,1,0,0,,,0,0,1,0,0,,,No,No,0,12,0,0,unknown,foundation,Switzerland,"Corion Stiftung, Grafenauweg 10, 6301 Zug",0,0,0,0,0,0,0,0,0,0,0,Blockchain Infrastructure,not applicable,6/18/17,8/27/17,8/27/17,,,,,1,21,1,0,unknown,unknown,,,1,1,,1,18,0,1,1,,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,,,0,0,0,1,0,1,1,1,0,0,0,71,71,,0,Blockchain Infrastructure,10/13/17,47
Cosmos,,,1,0,10000000,USD,1,Utility-token,,168475963,247110241,No,0,0,0,0,0,1,29212230,0,0,1,35,1,1,0,0,0,1,,0,0,0,0,,,0,1,0,,,1,,No,No,1,28,0,1,neutral,foundation,Switzerland,"c/o Sielva Management SA, Gubelstrasse 11, 6300 Zoug",0,0,0,0,1,0,0,0,0,0,0,Blockchain Infrastructure,not applicable,4/6/17,4/20/17,4/6/17,2,16,18,18,0,25,1,0,USD,USD,181,100,0,0,0,0,0,0,0,0,9,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,24,0,0,1,0,0,0,1,1,0,0,0,1,15,1,1,Blockchain Infrastructure,,
Covesting,Covesting,COV,1,2364025,19864162,ETH,0,Utility-token,10500,12751200,20000000,ERC-20,0,1,1,1,0,1,3748800,1,1,1,41,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,,,0,,No,No,0,8,1,1,unknown,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,0,1,1,0,0,0,Finance,0xe2fb6529ef566a080e6d23de0bd351311087d567,11/24/17,1/15/18,12/31/17,2,18,20,20,1,57,1,0,ETH,ETH,100,100,1,1,1,1,35,0,0,0,17,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,27,0,0,1,0,0,0,1,0,1,0,1,38,53,0,1,Finance,1/23/18,23
Crederoom,,,1,3496800,45167000,EUR,1,Security,,,10000000,ERC-20,0,1,1,1,0,1,,,,1,33,0,0,1,0,1,,0,0,0,0,0,,,0,1,0,,,1,,No,No,0,10,0,0,unknown,other,United Kingdom,"SHELFORD INVESTMENT GROUP S.A. LP, Suite 4073 Mitchell House, 5 Mitchell Street, Edinburgh, Scotland, EH6 7BD",0,0,0,0,0,0,1,0,0,0,0,Finance,0x1d9e20e581a5468644fe74ccb6a46278ef377f9e,10/16/17,11/13/17,11/13/17,,,,,0,,1,1,EUR,EUR,,,,,,1,17,0,1,1,,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,,,0,1,0,0,0,0,0,0,0,0,0,29,29,1,0,Finance,,
CrowdWiz,,,1,5000000,20000000,USD,1,Security,,,11169314,ERC-20,0,1,1,1,0,1,,,1,1,48,1,1,1,0,1,,0,0,1,0,0,,,0,1,0,,,1,,No,No,1,13,0,1,neutral,joint-stock corporation,Estonia,"Crowdwiz Ltd.,  Harju maakond, Tallinn, Lasnamäe linnaosa, Narva mnt 174c/1-8, 13914 ",0,0,0,0,0,0,1,1,1,0,0,Finance,unknown,11/20/17,1/31/18,1/31/18,5,2,7,7,0,,1,1,USD,USD,36,13,,,,1,13,0,0,1,,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,1,0,1,73,73,1,0,Finance,,
Crypterium,Crypterium,CRPT,1,3000000,47000000,USD,1,Utility-token,,210000000,300000000,ERC-20,0,1,2,2,0,1,,,,0,35,1,0,5,0,1,0,1,0,0,0,0,1,0,0,1,0,,,0,,No,No,0,11,1,1,high,joint-stock corporation,Estonia,"Harju maakond, Tallinn, Kesklinna linnaosa, A. Lauteri tn 5, 10114",0,0,0,0,0,1,0,0,1,0,0,Payments,0x80a7e048f37a50500351c204cb407766fa3bae7f,10/31/17,1/12/18,1/5/18,0,55,55,55,1,,1,1,USD,USD,118,100,,,0,0,25,0,0,0,,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,79,0,0,1,0,0,0,0,0,1,0,1,67,74,0,0,Payments,1/22/18,17
CRYPTO20,CRYPTO20,C20,1,2100000,82500000,tokens,1,Security,,30000000,86206896,ERC-20,0,1,1,,0,1,5000000,1,1,1,16,1,1,0,0,0,,0,0,1,0,0,1,0,0,1,0,0,,2,,No,No,0,6,1,1,high,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,1,1,1,1,0,0,Finance,0x26e75307fc0c021472feb8f727839531f112f317,10/16/17,11/30/17,11/30/17,5,30,35,35,1,14,1,1,tokens,tokens,42,39,1,1,1,1,9,0,0,0,10,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,86,0,1,0,0,0,0,0,0,1,0,1,46,46,2,1,Finance,1/22/18,53
Cryptopay,Cryptopay,CPAY,1,0,73860000,tokens,1,Security,,67811059,90414745,ERC-20,0,0,0,0,0,0,,,,0,28,1,1,5,1,1,,1,0,0,0,0,1,0,0,1,0,,,1,,No,Seedcoin,0,56,0,0,neutral,foundation,Cayman Islands,"CPAY Foundation Limited, c/o ARKA Corporate Services (Cayman) Limited, 67 Fort Street, 1st Floor, Artemis House, George Town, Grand Cayman KY1-1102",0,0,0,0,0,1,1,1,0,0,0,Payments,0x0ebb614204e47c09b6c3feb9aaecad8ee060e23e,9/25/17,10/30/17,10/30/17,0,18,18,18,0,,1,0,tokens,tokens,24,24,,,0,0,23,0,0,0,16,1,,1,1,1,1,0,1,1,1,0,1,0,0,1,1,23,0,1,0,0,0,0,0,1,0,0,0,36,36,1,1,Payments,12/28/17,59
CryptoPing,CryptoPing,PING,1,0,2589410,BTC,1,Utility-token,,10000000,10000000,Waves,0,0,0,0,0,0,,,,0,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,,,,No,No,0,,0,0,unknown,joint-stock corporation,Gibraltar,unknown,0,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,not applicable,5/24/17,6/25/17,6/25/17,0,3,3,3,0,,1,0,BTC,BTC,100,100,,,0,0,13,0,1,1,10,0,,1,1,0,1,0,0,1,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,0,1,0,1,33,33,,1,Trading & Exchanges,7/3/17,8
CyberMiles,CyberMiles,CMT,1,0,46585000,tokens,1,Utility-token,,417000000,1000000000,ERC-20,1,0,0,0,0,1,283000000,0,0,1,27,0,0,4,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,3,0,SIG; IDG; Morningside; Blue Lake; Puhua,No,1,7,1,1,neutral,limited liability partnership,Hong Kong,"13/F Gloucester Tower, The Landmark, 15 Queen's Road Central",0,0,0,0,0,1,1,1,1,1,0,Commerce & Advertising,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f,10/24/17,,12/3/17,,38,38,,1,-15,1,0,tokens,tokens,,,0,0,0,0,9,0,0,0,19,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,91,0,0,1,0,0,0,1,0,0,1,1,41,,2,0,Commerce & Advertising,12/6/17,3
DADI,DADI,DADI,1,1000000,29000000,USD,1,Utility-token,,50000000,100000000,ERC-20,0,1,1,1,0,1,10000000,0,0,1,33,1,1,5,1,1,1,1,1,1,0,0,1,0,0,1,0,,,2,,No,No,0,18,1,1,neutral,joint-stock corporation,United Kingdom,"7 Marylebone Lane, London, W1U 1DF",0,0,0,0,0,1,0,0,0,0,0,Cloud Computing,0xfb2f26f266fb2805a387230f2aa0a331b4d96fba,1/29/18,1/29/18,2/28/18,4,25,29,29,0,20,1,1,USD,USD,100,100,0,0,1,1,0,0,0,0,3,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,50,0,0,1,0,0,0,1,0,1,0,1,31,1,2,1,Cloud Computing,2/20/18,-8
DAO.Casino,DAO.Casino,BET,1,0,18191666,ETH,0,Utility-token,,,167270821,ERC-20,0,0,0,0,0,1,,0,0,1,16,1,1,1,0,0,,1,1,1,0,0,,,0,1,0,,,1,0,No,No,0,8,1,0,high,joint-stock corporation,Singapore,"DC Labs Pte. Ltd., 79 AYER RAJAH CRESCENT #05-08 SINGAPORE 139955",0,0,0,0,0,0,1,0,0,0,0,Gambling & Betting,0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2,6/29/17,7/21/17,7/21/17,,12,12,,0,42,1,0,ETH,ETH,,,0,0,,0,30,0,0,0,,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,,,0,0,1,0,0,0,0,0,1,0,1,23,23,1,0,Gambling & Betting,7/2/17,-19
Databits,Databits,DTB,1,1053335,5506527,USD,0,Utility-token,,15245466,22747808,No,0,0,0,0,0,1,678000,,,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,1,0,,,,,No,No,0,,0,1,neutral,joint-stock corporation,South Africa,"K2015416900, 11TH FLOOR TOUCHSTONE HOUSE, 7 BREE STREET FORESHORE, CAPE TOWN, WESTERN CAPE, 8001",0,0,0,0,0,0,0,0,0,0,0,Video Games & VR,not applicable,1/30/17,2/28/17,2/28/17,0,1,1,1,0,,1,1,USD,USD,20,19,,,0,0,33,0,0,1,41,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,0,1,30,30,,1,Video Games & VR,3/30/17,30
Datum,Datum,DAT,1,2137600,26164224,ETH,1,Utility-token,,437558931,2653841597,ERC-20,0,0,0,0,0,1,214802742,0,0,1,37,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,,No,No,0,12,1,1,neutral,limited liability partnership,Switzerland,"Datum Network GmbH,  Gotthardstrasse 26, 6300 Zug",0,0,0,0,0,1,1,1,1,0,0,Commerce & Advertising,0x81c9151de0c8bafcd325a57e3db5a5df1cebf79c,10/29/17,11/29/17,11/29/17,2,5,7,7,0,47,1,1,ETH,ETH,26,19,0,0,0,0,13,0,0,0,39,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,28,0,0,1,0,0,0,1,0,0,1,1,32,32,1,1,Commerce & Advertising,12/15/17,16
DCORP,DCORP,DRP,1,826808,10849000,EUR,1,Security,,,8094002,ERC-20,1,0,1,1,0,0,,,,1,26,0,0,0,0,1,,1,0,1,0,0,1,0,0,1,0,,,2,,No,No,1,4,1,1,neutral,limited liability partnership,Netherlands,unknown,0,0,0,0,0,0,0,0,1,0,0,Finance,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,6/1/17,6/29/17,6/29/17,0,5,5,5,0,,1,1,EUR,EUR,47,47,,,,1,38,0,0,0,,1,,1,1,0,0,0,1,1,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,1,29,29,2,1,Finance,11/9/17,133
Debitum Network (DBT),Debitum,DEB,1,0,20863680,ETH,1,Utility-token,,160260000,400000000,ERC-223,0,0,0,0,0,0,,,,1,88,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,,No,No,0,12,0,1,unknown,joint-stock corporation,Gibraltar,unknown,0,1,0,0,0,1,1,0,1,1,1,Finance,0x151202c9c18e495656f372281f493eb7698961d5,12/7/17,2/26/18,2/26/18,0,21,21,21,-1,,1,0,ETH,ETH,100,100,,,0,0,25,1,0,1,3,1,,1,1,0,1,0,1,1,0,0,0,1,0,1,0,52,0,0,1,0,0,0,1,0,1,0,1,82,82,0,1,Finance,3/13/18,15
DECENT,DECENT,DCT,1,0,,BTC,1,Utility-token,,38510760,73290000,No,0,0,0,0,0,0,,,,1,21,0,0,1,0,1,1,,1,1,0,0,1,0,0,1,0,,,,,Foundation Capital,Digital Currency Group,0,26,1,1,neutral,foundation,Switzerland,"Avenue Industrielle 4, 1227 Carouge, Switzerland",0,0,0,0,0,0,0,0,0,0,0,Content Management,not applicable,9/11/16,11/6/16,11/6/16,0,4,4,4,0,,0,0,BTC,BTC,,,,,0,0,60,0,0,0,54,0,,0,1,1,0,1,0,0,1,1,1,0,0,1,1,8,0,0,1,0,0,0,1,1,0,0,0,57,57,,1,Content Management,12/10/16,34
Decentraland,Decentraland,MANA,1,0,25987661,ETH,1,Utility-token,,1057761337,2644403342,ERC-20,1,0,0,0,0,0,,,,1,15,1,1,2,1,0,1,1,1,1,0,1,0,0,0,1,0,,,1,,No,Kenetic Capital,0,8,0,0,medium,joint-stock corporation,Cayman Islands,unknown,0,0,0,0,0,0,1,1,0,0,0,Video Games & VR,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,8/17/17,8/26/17,8/17/17,0,26,26,26,0,,1,0,ETH,ETH,100,100,,,0,0,40,0,0,0,39,1,,1,1,0,1,0,1,1,1,0,1,0,0,0,0,65,0,0,1,0,0,0,1,0,1,0,1,1,10,1,1,Video Games & VR,9/17/17,31
DEEX (DEEX),,,1,,15000000,tokens,1,Security,,61559821,100000000,ERC-20,0,,0,0,0,1,13440179,0,0,1,25,1,1,0,0,1,,1,0,0,0,0,1,0,0,1,0,,,0,,No,No,1,8,1,1,neutral,unknown,Estonia,"Linnamae tee 25, Tallinn 13912 Estonia",0,0,0,0,0,0,1,0,0,0,0,Trading & Exchanges,0xc16cf13922c18de7842374f9baace4489f1d24af,1/10/18,2/28/18,2/28/18,3,10,13,13,0,60,1,0,tokens,tokens,86,82,0,0,0,0,,0,0,0,14,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,16,0,1,0,0,0,0,0,0,0,0,,50,50,0,1,Trading & Exchanges,,
Devery,Devery,EVE,1,0,10000000,USD,1,Utility-token,,32215169,100000000,ERC-20,0,0,0,0,0,1,28108230,0,0,1,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,,0,,No,No,0,5,0,0,high,unknown,Cayman Islands,unknown,0,0,0,0,0,1,1,1,0,0,0,Privacy & Security,0x923108a439c4e8c2315c4f6521e5ce95b44e9b4c,12/14/17,2/1/18,1/19/18,5,6,10,10,0,5,1,0,USD,USD,104,100,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,18,0,0,1,0,0,0,1,0,0,0,,37,50,0,1,Privacy & Security,1/24/18,5
DigixDAO,DigixDAO,DGD,1,500000,5500000,USD,1,Security,,1700000,2000000,ERC-20,1,3,3,3,1,0,,,,0,22,1,1,0,0,1,,1,1,1,0,0,1,0,0,1,0,,,,,No,No,1,,0,0,unknown,joint-stock corporation,Singapore,"DigixGlobal Pte Ltd, 10 Anson Road #05-17, International Plaza, Singapore 079903",0,0,0,0,0,0,0,0,0,0,0,Finance,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,3/30/16,3/30/16,3/30/16,0,6,6,6,0,,1,1,USD,USD,100,100,,,3,3,0,0,1,1,0,0,,1,1,1,0,0,1,1,0,0,0,1,0,0,1,6,0,1,0,0,0,0,0,0,1,0,1,1,1,,1,Finance,4/18/16,19
DIMCOIN,DIMCOIN,DIM,1,0,360000000,tokens,1,Security,,3000000000,9000000000,No,0,0,0,0,0,0,,,,1,71,1,0,5,0,1,,,0,1,0,1,0,0,0,0,1,0,0,,,No,No,1,20,1,1,high,joint-stock corporation,Singapore,22 North Canal road #02-00 Singapore 048834,0,0,0,0,0,0,0,0,0,0,0,Trading & Exchanges,not applicable,7/1/17,8/27/17,8/28/17,0,14,14,14,1,,1,0,tokens,tokens,4,4,,,0,0,94,0,0,0,96,0,,0,1,1,0,0,0,0,0,0,0,0,1,1,0,42,0,1,0,0,0,0,1,0,1,0,1,59,58,,1,Trading & Exchanges,12/27/17,121
district0x,district0x,DNT,1,2000000,50000000,USD,1,Utility-token,,600000000,1000000000,ERC-20,0,0,0,0,1,0,,,,1,23,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,,,1,,No,BoostVC; Fintech Blockchain Group; CoinFund,1,3,0,0,medium,joint-stock corporation,United States,unknown,0,0,1,0,0,0,1,1,0,0,0,Marketplaces,0x0abdace70d3790235af448c88547603b945604ea,7/18/17,8/1/17,8/1/17,0,10,10,10,0,,1,1,USD,USD,20,20,,,0,0,0,0,0,0,0,1,,1,1,0,0,0,1,1,1,0,1,0,0,1,1,16,0,0,1,0,0,0,1,0,1,0,1,15,15,1,1,Marketplaces,8/3/17,2
Divi,Divi,DIVX,1,2331400,46628000,ETH,1,Cryptocurrency,,,6206858,ERC-20,1,1,1,1,0,1,,,,0,21,0,0,0,0,1,,1,0,1,0,0,,,0,1,0,,,1,,No,No,1,7,1,1,high,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,1,Payments,0x13f11c9905a08ca76e3e853be63d4f0944326c72,10/27/17,11/25/17,11/25/17,1,2,3,3,0,,1,1,ETH,ETH,7,5,,,,1,23,0,0,0,,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,,,0,0,0,1,0,1,1,0,0,0,,30,30,1,0,Payments,11/27/17,2
